channel,d_year,return_lines,return_amt,net_loss
catalog,1998,12252,15710736,9110372
catalog,1999,28891,37523247,21688750
catalog,2000,28837,36350449,21349424
catalog,2001,28626,36150361,21094637
catalog,2002,28728,36835566,21353113
catalog,2003,16733,21231636,12448543
store,1998,31814,30629406,18266275
store,1999,55225,53332733,31663554
store,2000,55820,53130787,31523235
store,2001,55446,53037381,31816670
store,2002,55156,53145251,31498348
store,2003,24041,23116834,13781561
web,1998,4539,5791138,3465240
web,1999,13685,17390551,10067156
web,2000,13634,17671233,10349658
web,2001,13580,17383911,10116772
web,2002,13862,17071164,10127399
web,2003,9336,12170375,7017681
